,samples,PCR,RT
212,MAI1503A789,all,NT
213,MAI1503A790,all,NT
214,MAI1503A791,all,NT
215,MAI1503A792,all,NT
216,MAI1503A793,all,NT
217,MAI1503A794,all,NT
218,MAI1503A795,all,NT
219,MAI1503A796,all,NT
220,MAI1503A797,all,NT
221,MAI1503A798,all,NT
222,MAI1503A799,all,NT
223,MAI1503A800,all,NT
224,MAI1503A801,all,NT
225,MAI1503A802,all,NT
226,MAI1503A803,all,NT
227,MAI1503A804,all,NT
228,MAI1503A805,all,NT
229,MAI1503A806,all,NT
230,MAI1503A807,all,NT
231,MAI1503A808,all,NT
232,MAI1503A809,all,NT
233,MAI1503A810,all,NT
234,MAI1503A811,all,NT
235,MAI1503A812,all,NT
236,MAI1503A813,all,NT
237,MAI1503A814,all,NT
238,MAI1503A815,all,NT
239,MAI1503A816,all,NT
240,MAI1503A817,all,NT
241,MAI1503A818,all,NT
242,MAI1503A819,all,NT
243,MAI1503A820,all,NT
244,MAI1503A821,all,NT
245,MAI1503A822,all,NT
246,MAI1503A823,all,NT
247,MAI1503A824,all,NT
248,MAI1503A825,all,NT
249,MAI1503A826,all,NT
250,MAI1503A827,all,NT
251,MAI1503A828,all,NT
252,MAI1503A829,all,NT
253,MAI1503A830,all,NT
254,MAI1503A831,all,NT
255,MAI1503A832,all,NT
256,MAI1503A833,all,NT
257,MAI1503A834,all,NT
258,MAI1503A835,all,NT
259,MAI1503A836,all,NT
260,MAI1503A837,all,NT
261,MAI1503A838,all,NT
262,MAI1503A839,all,NT
263,MAI1503A840,all,NT
264,MAI1503A841,all,NT
265,MAI1503A842,all,NT
266,MAI1503A843,all,NT
267,MAI1503A844,all,NT
268,MAI1503A845,all,NT
269,MAI1503A846,all,NT
270,MAI1503A847,all,NT
271,MAI1503A848,all,NT
272,MAI1503A849,all,NT
273,MAI1503A850,all,NT
274,MAI1503A851,all,NT
275,MAI1503A852,all,NT
276,MAI1503A853,all,NT
277,MAI1503A854,all,NT
278,MAI1503A855,all,NT
279,MAI1503A856,all,NT
280,MAI1503A857,all,NT
281,MAI1503A858,all,NT
282,MAI1503A859,all,NT
283,MAI1503A860,all,NT
284,MAI1503A861,all,NT
285,MAI1503A862,all,NT
286,MAI1503A863,all,NT
287,MAI1503A864,all,NT
288,MAI1503A865,all,NT
289,MAI1503A866,all,NT
290,MAI1503A867,all,NT
291,MAI1503A868,all,NT
292,MAI1503A869,all,NT
293,MAI1503A870,all,NT
294,MAI1503A871,all,NT
295,MAI1503A872,all,NT
296,MAI1503A873,all,NT
297,MAI1503A874,all,NT
298,MAI1503A875,all,NT
299,MAI1503A876,all,NT
300,MAI1503A877,all,NT
