,samples,RT
0,MAI5081A385,D3
1,MAI5081A386,D3
2,MAI5081A387,D3
3,MAI5081A388,D3
4,MAI5081A389,D3
5,MAI5081A390,D3
6,MAI5081A391,D3
7,MAI5081A392,D3
8,MAI5081A393,D3
9,MAI5081A394,D3
10,MAI5081A395,D3
11,MAI5081A396,D3
12,MAI5081A397,D3
13,MAI5081A398,D3
14,MAI5081A399,D3
15,MAI5081A400,D3
16,MAI5081A401,D3
17,MAI5081A402,D3
18,MAI5081A403,D3
19,MAI5081A404,D3
20,MAI5081A405,D3
21,MAI5081A406,D3
22,MAI5081A407,D3
23,MAI5081A408,D3
24,MAI5081A409,D3
25,MAI5081A410,D3
26,MAI5081A411,D3
27,MAI5081A412,D3
28,MAI5081A413,D3
29,MAI5081A414,D3
30,MAI5081A415,D3
31,MAI5081A416,D3
32,MAI5081A417,D3
33,MAI5081A418,D3
34,MAI5081A419,D3
35,MAI5081A420,D3
36,MAI5081A421,D3
37,MAI5081A422,D3
38,MAI5081A423,D3
39,MAI5081A424,D3
40,MAI5081A425,D3
41,MAI5081A426,D3
42,MAI5081A427,D3
43,MAI5081A428,D3
44,MAI5081A429,D3
45,MAI5081A430,D3
46,MAI5081A431,D3
47,MAI5081A432,D3
48,MAI5081A433,D3
49,MAI5081A434,D3
50,MAI5081A435,D3
51,MAI5081A436,D3
52,MAI5081A437,D3
53,MAI5081A438,D3
54,MAI5081A439,D3
55,MAI5081A440,D3
56,MAI5081A441,D3
57,MAI5081A442,D3
58,MAI5081A443,D3
59,MAI5081A444,D3
60,MAI5081A445,D3
61,MAI5081A446,D3
62,MAI5081A447,D3
63,MAI5081A448,D3
64,MAI5081A449,D3
65,MAI5081A450,D3
66,MAI5081A451,D3
67,MAI5081A452,D3
68,MAI5081A453,D3
69,MAI5081A454,D3
70,MAI5081A455,D3
71,MAI5081A456,D3
72,MAI5081A457,D3
73,MAI5081A458,D3
74,MAI5081A459,D3
75,MAI5081A460,D3
76,MAI5081A461,D3
77,MAI5081A462,D3
78,MAI5081A463,D3
79,MAI5081A464,D3
80,MAI5081A465,D3
81,MAI5081A466,D3
82,MAI5081A467,D3
83,MAI5081A468,D3
84,MAI5081A469,D3
85,MAI5081A470,D3
86,MAI5081A471,D3
87,MAI5081A472,D3
88,MAI5081A473,D3
89,MAI5081A474,D3
90,MAI5081A475,D3
91,MAI5081A476,D3
92,MAI5081A477,D3
93,MAI5081A478,D3
94,MAI5081A479,D3
95,MAI5081A480,D3
96,MAI5081A481,D3
97,MAI5081A482,D3
98,MAI5081A483,D3
99,MAI5081A484,D3
100,MAI5081A485,D3
101,MAI5081A486,D3
102,MAI5081A487,D3
103,MAI5081A488,D3
104,MAI5081A489,D3
105,MAI5081A490,D3
106,MAI5081A491,D3
107,MAI5081A492,D3
108,MAI5081A493,D3
109,MAI5081A494,D3
110,MAI5081A495,D3
111,MAI5081A496,D3
112,MAI5081A497,D3
113,MAI5081A498,D3
114,MAI5081A499,D3
115,MAI5081A500,D3
116,MAI5081A501,D3
117,MAI5081A502,D3
118,MAI5081A503,D3
119,MAI5081A504,D3
120,MAI5081A505,D3
121,MAI5081A506,D3
122,MAI5081A507,D3
123,MAI5081A508,D3
124,MAI5081A509,D3
125,MAI5081A510,D3
126,MAI5081A511,D3
127,MAI5081A512,D3
128,MAI5081A513,D3
129,MAI5081A514,D3
130,MAI5081A515,D3
131,MAI5081A516,D3
132,MAI5081A517,D3
133,MAI5081A518,D3
134,MAI5081A519,D3
135,MAI5081A520,D3
136,MAI5081A521,D3
137,MAI5081A522,D3
138,MAI5081A523,D3
139,MAI5081A524,D3
140,MAI5081A525,D3
141,MAI5081A526,D3
142,MAI5081A527,D3
143,MAI5081A528,D3
144,MAI5081A529,D3
145,MAI5081A530,D3
146,MAI5081A531,D3
147,MAI5081A532,D3
148,MAI5081A533,D3
149,MAI5081A534,D3
150,MAI5081A535,D3
151,MAI5081A536,D3
152,MAI5081A537,D3
153,MAI5081A538,D3
154,MAI5081A539,D3
155,MAI5081A540,D3
156,MAI5081A541,D3
157,MAI5081A542,D3
158,MAI5081A543,D3
159,MAI5081A544,D3
160,MAI5081A545,D3
161,MAI5081A546,D3
162,MAI5081A547,D3
163,MAI5081A548,D3
164,MAI5081A549,D3
165,MAI5081A550,D3
166,MAI5081A551,D3
167,MAI5081A552,D3
168,MAI5081A553,D3
169,MAI5081A554,D3
170,MAI5081A555,D3
171,MAI5081A556,D3
172,MAI5081A557,D3
173,MAI5081A558,D3
174,MAI5081A559,D3
175,MAI5081A560,D3
176,MAI5081A561,D3
177,MAI5081A562,D3
178,MAI5081A563,D3
179,MAI5081A564,D3
180,MAI5081A565,D3
181,MAI5081A566,D3
182,MAI5081A567,D3
183,MAI5081A568,D3
184,MAI5081A569,D3
185,MAI5081A570,D3
186,MAI5081A571,D3
187,MAI5081A572,D3
188,MAI5081A573,D3
189,MAI5081A574,D3
190,MAI5081A575,D3
191,MAI5081A576,D3
192,MAI5081A577,D3
193,MAI5081A578,D3
194,MAI5081A579,D3
195,MAI5081A580,D3
196,MAI5081A581,D3
197,MAI5081A582,D3
198,MAI5081A583,D3
199,MAI5081A584,D3
200,MAI5081A585,D3
201,MAI5081A586,D3
202,MAI5081A587,D3
203,MAI5081A588,D3
204,MAI5081A589,D3
205,MAI5081A590,D3
206,MAI5081A591,D3
207,MAI5081A592,D3
208,MAI5081A593,D3
209,MAI5081A594,D3
210,MAI5081A595,D3
211,MAI5081A596,D3
212,MAI5081A597,D3
213,MAI5081A598,D3
214,MAI5081A599,D3
215,MAI5081A600,D3
216,MAI5081A601,D3
217,MAI5081A602,D3
218,MAI5081A603,D3
219,MAI5081A604,D3
220,MAI5081A605,D3
221,MAI5081A606,D3
222,MAI5081A607,D3
223,MAI5081A608,D3
224,MAI5081A609,D3
225,MAI5081A610,D3
226,MAI5081A611,D3
227,MAI5081A612,D3
228,MAI5081A613,D3
229,MAI5081A614,D3
230,MAI5081A615,D3
231,MAI5081A616,D3
232,MAI5081A617,D3
233,MAI5081A618,D3
