,Sample limsid,Sample Name,plate,well,384_plate
84,MAI1502A3157,index_set_085,1,H1,O1
85,MAI1502A3158,index_set_086,1,H2,O3
86,MAI1502A3159,index_set_087,1,H3,O5
87,MAI1502A3160,index_set_088,1,H4,O7
88,MAI1502A3161,index_set_089,1,H5,O9
89,MAI1502A3162,index_set_090,1,H6,O11
90,MAI1502A3163,index_set_091,1,H7,O13
91,MAI1502A3164,index_set_092,1,H8,O15
92,MAI1502A3165,index_set_093,1,H9,O17
93,MAI1502A3166,index_set_094,1,H10,O19
94,MAI1502A3167,index_set_095,1,H11,O21
95,MAI1502A3168,index_set_096,1,H12,O23
96,MAI1502A3169,index_set_097,2,A1,A2
97,MAI1502A3170,index_set_098,2,A2,A4
98,MAI1502A3171,index_set_099,2,A3,A6
99,MAI1502A3172,index_set_100,2,A4,A8
100,MAI1502A3173,index_set_101,2,A5,A10
101,MAI1502A3174,index_set_102,2,A6,A12
102,MAI1502A3175,index_set_103,2,A7,A14
103,MAI1502A3176,index_set_104,2,A8,A16
104,MAI1502A3177,index_set_105,2,A9,A18
105,MAI1502A3178,index_set_106,2,A10,A20
106,MAI1502A3179,index_set_107,2,A11,A22
107,MAI1502A3180,index_set_108,2,A12,A24
108,MAI1502A3181,index_set_109,2,B1,C2
109,MAI1502A3182,index_set_110,2,B2,C4
110,MAI1502A3183,index_set_111,2,B3,C6
111,MAI1502A3184,index_set_112,2,B4,C8
112,MAI1502A3185,index_set_113,2,B5,C10
113,MAI1502A3186,index_set_114,2,B6,C12
114,MAI1502A3187,index_set_115,2,B7,C14
115,MAI1502A3188,index_set_116,2,B8,C16
116,MAI1502A3189,index_set_117,2,B9,C18
117,MAI1502A3190,index_set_118,2,B10,C20
118,MAI1502A3191,index_set_119,2,B11,C22
119,MAI1502A3192,index_set_120,2,B12,C24
120,MAI1502A3193,index_set_121,2,C1,E2
121,MAI1502A3194,index_set_122,2,C2,E4
122,MAI1502A3195,index_set_123,2,C3,E6
123,MAI1502A3196,index_set_124,2,C4,E8
124,MAI1502A3197,index_set_125,2,C5,E10
125,MAI1502A3198,index_set_126,2,C6,E12
126,MAI1502A3199,index_set_127,2,C7,E14
127,MAI1502A3200,index_set_128,2,C8,E16
128,MAI1502A3201,index_set_129,2,C9,E18
129,MAI1502A3202,index_set_130,2,C10,E20
130,MAI1502A3203,index_set_131,2,C11,E22
131,MAI1502A3204,index_set_132,2,C12,E24
132,MAI1502A3205,index_set_133,2,D1,G2
133,MAI1502A3206,index_set_134,2,D2,G4
134,MAI1502A3207,index_set_135,2,D3,G6
135,MAI1502A3208,index_set_136,2,D4,G8
136,MAI1502A3209,index_set_137,2,D5,G10
137,MAI1502A3210,index_set_138,2,D6,G12
138,MAI1502A3211,index_set_139,2,D7,G14
139,MAI1502A3212,index_set_140,2,D8,G16
140,MAI1502A3213,index_set_141,2,D9,G18
141,MAI1502A3214,index_set_142,2,D10,G20
142,MAI1502A3215,index_set_143,2,D11,G22
143,MAI1502A3216,index_set_144,2,D12,G24
144,MAI1502A3217,index_set_145,2,E1,I2
145,MAI1502A3218,index_set_146,2,E2,I4
146,MAI1502A3219,index_set_147,2,E3,I6
147,MAI1502A3220,index_set_148,2,E4,I8
148,MAI1502A3221,index_set_149,2,E5,I10
149,MAI1502A3222,index_set_150,2,E6,I12
150,MAI1502A3223,index_set_151,2,E7,I14
151,MAI1502A3224,index_set_152,2,E8,I16
152,MAI1502A3225,index_set_153,2,E9,I18
153,MAI1502A3226,index_set_154,2,E10,I20
154,MAI1502A3227,index_set_155,2,E11,I22
155,MAI1502A3228,index_set_156,2,E12,I24
156,MAI1502A3229,index_set_157,2,F1,K2
157,MAI1502A3230,index_set_158,2,F2,K4
158,MAI1502A3231,index_set_159,2,F3,K6
159,MAI1502A3232,index_set_160,2,F4,K8
160,MAI1502A3233,index_set_161,2,F5,K10
161,MAI1502A3234,index_set_162,2,F6,K12
162,MAI1502A3235,index_set_163,2,F7,K14
163,MAI1502A3236,index_set_164,2,F8,K16
164,MAI1502A3237,index_set_165,2,F9,K18
165,MAI1502A3238,index_set_166,2,F10,K20
166,MAI1502A3239,index_set_167,2,F11,K22
167,MAI1502A3240,index_set_168,2,F12,K24
168,MAI1502A3241,index_set_169,2,G1,M2
169,MAI1502A3242,index_set_170,2,G2,M4
170,MAI1502A3243,index_set_171,2,G3,M6
171,MAI1502A3244,index_set_172,2,G4,M8
172,MAI1502A3245,index_set_173,2,G5,M10
173,MAI1502A3246,index_set_174,2,G6,M12
174,MAI1502A3247,index_set_175,2,G7,M14
175,MAI1502A3248,index_set_176,2,G8,M16
176,MAI1502A3249,index_set_177,2,G9,M18
177,MAI1502A3250,index_set_178,2,G10,M20
178,MAI1502A3251,index_set_179,2,G11,M22
179,MAI1502A3252,index_set_180,2,G12,M24
180,MAI1502A3253,index_set_181,2,H1,O2
181,MAI1502A3254,index_set_182,2,H2,O4
