,Sample limsid,Sample Name,plate,well,384_plate
0,MAI1502A385,index_set_001,1,A1,A1
1,MAI1502A386,index_set_002,1,A2,A3
2,MAI1502A387,index_set_003,1,A3,A5
3,MAI1502A388,index_set_004,1,A4,A7
4,MAI1502A389,index_set_005,1,A5,A9
5,MAI1502A390,index_set_006,1,A6,A11
6,MAI1502A391,index_set_007,1,A7,A13
7,MAI1502A392,index_set_008,1,A8,A15
8,MAI1502A393,index_set_009,1,A9,A17
9,MAI1502A394,index_set_010,1,A10,A19
10,MAI1502A395,index_set_011,1,A11,A21
11,MAI1502A396,index_set_012,1,A12,A23
12,MAI1502A397,index_set_013,1,B1,C1
13,MAI1502A398,index_set_014,1,B2,C3
14,MAI1502A399,index_set_015,1,B3,C5
15,MAI1502A400,index_set_016,1,B4,C7
16,MAI1502A401,index_set_017,1,B5,C9
17,MAI1502A402,index_set_018,1,B6,C11
18,MAI1502A403,index_set_019,1,B7,C13
19,MAI1502A404,index_set_020,1,B8,C15
20,MAI1502A405,index_set_021,1,B9,C17
21,MAI1502A406,index_set_022,1,B10,C19
22,MAI1502A407,index_set_023,1,B11,C21
23,MAI1502A408,index_set_024,1,B12,C23
24,MAI1502A409,index_set_025,1,C1,E1
25,MAI1502A410,index_set_026,1,C2,E3
26,MAI1502A411,index_set_027,1,C3,E5
27,MAI1502A412,index_set_028,1,C4,E7
28,MAI1502A413,index_set_029,1,C5,E9
29,MAI1502A414,index_set_030,1,C6,E11
30,MAI1502A415,index_set_031,1,C7,E13
31,MAI1502A416,index_set_032,1,C8,E15
32,MAI1502A417,index_set_033,1,C9,E17
33,MAI1502A418,index_set_034,1,C10,E19
34,MAI1502A419,index_set_035,1,C11,E21
35,MAI1502A420,index_set_036,1,C12,E23
36,MAI1502A421,index_set_037,1,D1,G1
37,MAI1502A422,index_set_038,1,D2,G3
38,MAI1502A423,index_set_039,1,D3,G5
39,MAI1502A424,index_set_040,1,D4,G7
40,MAI1502A425,index_set_041,1,D5,G9
41,MAI1502A426,index_set_042,1,D6,G11
42,MAI1502A427,index_set_043,1,D7,G13
43,MAI1502A428,index_set_044,1,D8,G15
44,MAI1502A429,index_set_045,1,D9,G17
45,MAI1502A430,index_set_046,1,D10,G19
46,MAI1502A431,index_set_047,1,D11,G21
47,MAI1502A432,index_set_048,1,D12,G23
48,MAI1502A433,index_set_049,1,E1,I1
49,MAI1502A434,index_set_050,1,E2,I3
50,MAI1502A435,index_set_051,1,E3,I5
51,MAI1502A436,index_set_052,1,E4,I7
52,MAI1502A437,index_set_053,1,E5,I9
53,MAI1502A438,index_set_054,1,E6,I11
54,MAI1502A439,index_set_055,1,E7,I13
55,MAI1502A440,index_set_056,1,E8,I15
56,MAI1502A441,index_set_057,1,E9,I17
57,MAI1502A442,index_set_058,1,E10,I19
58,MAI1502A443,index_set_059,1,E11,I21
59,MAI1502A444,index_set_060,1,E12,I23
60,MAI1502A445,index_set_061,1,F1,K1
61,MAI1502A446,index_set_062,1,F2,K3
62,MAI1502A447,index_set_063,1,F3,K5
63,MAI1502A448,index_set_064,1,F4,K7
64,MAI1502A449,index_set_065,1,F5,K9
65,MAI1502A450,index_set_066,1,F6,K11
66,MAI1502A451,index_set_067,1,F7,K13
67,MAI1502A452,index_set_068,1,F8,K15
68,MAI1502A453,index_set_069,1,F9,K17
69,MAI1502A454,index_set_070,1,F10,K19
70,MAI1502A455,index_set_071,1,F11,K21
71,MAI1502A456,index_set_072,1,F12,K23
72,MAI1502A457,index_set_073,1,G1,M1
73,MAI1502A458,index_set_074,1,G2,M3
74,MAI1502A459,index_set_075,1,G3,M5
75,MAI1502A460,index_set_076,1,G4,M7
76,MAI1502A461,index_set_077,1,G5,M9
77,MAI1502A462,index_set_078,1,G6,M11
78,MAI1502A463,index_set_079,1,G7,M13
79,MAI1502A464,index_set_080,1,G8,M15
80,MAI1502A465,index_set_081,1,G9,M17
81,MAI1502A466,index_set_082,1,G10,M19
82,MAI1502A467,index_set_083,1,G11,M21
83,MAI1502A468,index_set_084,1,G12,M23
84,MAI1502A469,index_set_085,1,H1,O1
85,MAI1502A470,index_set_086,1,H2,O3
86,MAI1502A471,index_set_087,1,H3,O5
87,MAI1502A472,index_set_088,1,H4,O7
88,MAI1502A473,index_set_089,1,H5,O9
89,MAI1502A474,index_set_090,1,H6,O11
90,MAI1502A475,index_set_091,1,H7,O13
91,MAI1502A476,index_set_092,1,H8,O15
92,MAI1502A477,index_set_093,1,H9,O17
93,MAI1502A478,index_set_094,1,H10,O19
94,MAI1502A479,index_set_095,1,H11,O21
95,MAI1502A480,index_set_096,1,H12,O23
96,MAI1502A481,index_set_097,2,A1,A2
97,MAI1502A482,index_set_098,2,A2,A4
98,MAI1502A483,index_set_099,2,A3,A6
99,MAI1502A484,index_set_100,2,A4,A8
100,MAI1502A485,index_set_101,2,A5,A10
101,MAI1502A486,index_set_102,2,A6,A12
102,MAI1502A487,index_set_103,2,A7,A14
103,MAI1502A488,index_set_104,2,A8,A16
104,MAI1502A489,index_set_105,2,A9,A18
105,MAI1502A490,index_set_106,2,A10,A20
106,MAI1502A491,index_set_107,2,A11,A22
107,MAI1502A492,index_set_108,2,A12,A24
108,MAI1502A493,index_set_109,2,B1,C2
109,MAI1502A494,index_set_110,2,B2,C4
110,MAI1502A495,index_set_111,2,B3,C6
111,MAI1502A496,index_set_112,2,B4,C8
112,MAI1502A497,index_set_113,2,B5,C10
113,MAI1502A498,index_set_114,2,B6,C12
114,MAI1502A499,index_set_115,2,B7,C14
115,MAI1502A500,index_set_116,2,B8,C16
116,MAI1502A501,index_set_117,2,B9,C18
117,MAI1502A502,index_set_118,2,B10,C20
118,MAI1502A503,index_set_119,2,B11,C22
119,MAI1502A504,index_set_120,2,B12,C24
120,MAI1502A505,index_set_121,2,C1,E2
121,MAI1502A506,index_set_122,2,C2,E4
122,MAI1502A507,index_set_123,2,C3,E6
123,MAI1502A508,index_set_124,2,C4,E8
124,MAI1502A509,index_set_125,2,C5,E10
125,MAI1502A510,index_set_126,2,C6,E12
126,MAI1502A511,index_set_127,2,C7,E14
127,MAI1502A512,index_set_128,2,C8,E16
128,MAI1502A513,index_set_129,2,C9,E18
129,MAI1502A514,index_set_130,2,C10,E20
130,MAI1502A515,index_set_131,2,C11,E22
131,MAI1502A516,index_set_132,2,C12,E24
132,MAI1502A517,index_set_133,2,D1,G2
