,Sample limsid,Sample Name,plate,well,384_plate
0,MAI5081A2689,index_set_001,1,A1,A1
1,MAI5081A2690,index_set_002,1,A2,A3
2,MAI5081A2691,index_set_003,1,A3,A5
3,MAI5081A2692,index_set_004,1,A4,A7
4,MAI5081A2693,index_set_005,1,A5,A9
5,MAI5081A2694,index_set_006,1,A6,A11
6,MAI5081A2695,index_set_007,1,A7,A13
7,MAI5081A2696,index_set_008,1,A8,A15
8,MAI5081A2697,index_set_009,1,A9,A17
9,MAI5081A2698,index_set_010,1,A10,A19
10,MAI5081A2699,index_set_011,1,A11,A21
11,MAI5081A2700,index_set_012,1,A12,A23
12,MAI5081A2701,index_set_013,1,B1,C1
13,MAI5081A2702,index_set_014,1,B2,C3
14,MAI5081A2703,index_set_015,1,B3,C5
15,MAI5081A2704,index_set_016,1,B4,C7
16,MAI5081A2705,index_set_017,1,B5,C9
17,MAI5081A2706,index_set_018,1,B6,C11
18,MAI5081A2707,index_set_019,1,B7,C13
19,MAI5081A2708,index_set_020,1,B8,C15
20,MAI5081A2709,index_set_021,1,B9,C17
21,MAI5081A2710,index_set_022,1,B10,C19
22,MAI5081A2711,index_set_023,1,B11,C21
23,MAI5081A2712,index_set_024,1,B12,C23
24,MAI5081A2713,index_set_025,1,C1,E1
25,MAI5081A2714,index_set_026,1,C2,E3
26,MAI5081A2715,index_set_027,1,C3,E5
27,MAI5081A2716,index_set_028,1,C4,E7
28,MAI5081A2717,index_set_029,1,C5,E9
29,MAI5081A2718,index_set_030,1,C6,E11
30,MAI5081A2719,index_set_031,1,C7,E13
31,MAI5081A2720,index_set_032,1,C8,E15
32,MAI5081A2721,index_set_033,1,C9,E17
33,MAI5081A2722,index_set_034,1,C10,E19
34,MAI5081A2723,index_set_035,1,C11,E21
35,MAI5081A2724,index_set_036,1,C12,E23
36,MAI5081A2725,index_set_037,1,D1,G1
37,MAI5081A2726,index_set_038,1,D2,G3
38,MAI5081A2727,index_set_039,1,D3,G5
39,MAI5081A2728,index_set_040,1,D4,G7
40,MAI5081A2729,index_set_041,1,D5,G9
41,MAI5081A2730,index_set_042,1,D6,G11
42,MAI5081A2731,index_set_043,1,D7,G13
43,MAI5081A2732,index_set_044,1,D8,G15
44,MAI5081A2733,index_set_045,1,D9,G17
45,MAI5081A2734,index_set_046,1,D10,G19
46,MAI5081A2735,index_set_047,1,D11,G21
47,MAI5081A2736,index_set_048,1,D12,G23
48,MAI5081A2737,index_set_049,1,E1,I1
49,MAI5081A2738,index_set_050,1,E2,I3
50,MAI5081A2739,index_set_051,1,E3,I5
51,MAI5081A2740,index_set_052,1,E4,I7
52,MAI5081A2741,index_set_053,1,E5,I9
53,MAI5081A2742,index_set_054,1,E6,I11
54,MAI5081A2743,index_set_055,1,E7,I13
55,MAI5081A2744,index_set_056,1,E8,I15
56,MAI5081A2745,index_set_057,1,E9,I17
57,MAI5081A2746,index_set_058,1,E10,I19
58,MAI5081A2747,index_set_059,1,E11,I21
59,MAI5081A2748,index_set_060,1,E12,I23
60,MAI5081A2749,index_set_061,1,F1,K1
61,MAI5081A2750,index_set_062,1,F2,K3
62,MAI5081A2751,index_set_063,1,F3,K5
63,MAI5081A2752,index_set_064,1,F4,K7
64,MAI5081A2753,index_set_065,1,F5,K9
65,MAI5081A2754,index_set_066,1,F6,K11
66,MAI5081A2755,index_set_067,1,F7,K13
67,MAI5081A2756,index_set_068,1,F8,K15
68,MAI5081A2757,index_set_069,1,F9,K17
69,MAI5081A2758,index_set_070,1,F10,K19
70,MAI5081A2759,index_set_071,1,F11,K21
71,MAI5081A2760,index_set_072,1,F12,K23
72,MAI5081A2761,index_set_073,1,G1,M1
73,MAI5081A2762,index_set_074,1,G2,M3
74,MAI5081A2763,index_set_075,1,G3,M5
75,MAI5081A2764,index_set_076,1,G4,M7
76,MAI5081A2765,index_set_077,1,G5,M9
77,MAI5081A2766,index_set_078,1,G6,M11
78,MAI5081A2767,index_set_079,1,G7,M13
