,samples,RT
0,MAI5081A1537,D3
1,MAI5081A1538,D3
2,MAI5081A1539,D3
3,MAI5081A1540,D3
4,MAI5081A1541,D3
5,MAI5081A1542,D3
6,MAI5081A1543,D3
7,MAI5081A1544,D3
8,MAI5081A1545,D3
9,MAI5081A1546,D3
10,MAI5081A1547,D3
11,MAI5081A1548,D3
12,MAI5081A1549,D3
13,MAI5081A1550,D3
14,MAI5081A1551,D3
15,MAI5081A1552,D3
16,MAI5081A1553,D3
17,MAI5081A1554,D3
18,MAI5081A1555,D3
19,MAI5081A1556,D3
20,MAI5081A1557,D3
21,MAI5081A1558,D3
22,MAI5081A1559,D3
23,MAI5081A1560,D3
24,MAI5081A1561,D3
25,MAI5081A1562,D3
26,MAI5081A1563,D3
27,MAI5081A1564,D3
28,MAI5081A1565,D3
29,MAI5081A1566,D3
30,MAI5081A1567,D3
31,MAI5081A1568,D3
32,MAI5081A1569,D3
33,MAI5081A1570,D3
34,MAI5081A1571,D3
35,MAI5081A1572,D3
36,MAI5081A1573,D3
37,MAI5081A1574,D3
38,MAI5081A1575,D3
39,MAI5081A1576,D3
40,MAI5081A1577,D3
41,MAI5081A1578,D3
42,MAI5081A1579,D3
43,MAI5081A1580,D3
44,MAI5081A1581,D3
45,MAI5081A1582,D3
46,MAI5081A1583,D3
47,MAI5081A1584,D3
48,MAI5081A1585,D3
49,MAI5081A1586,D3
50,MAI5081A1587,D3
51,MAI5081A1588,D3
52,MAI5081A1589,D3
53,MAI5081A1590,D3
54,MAI5081A1591,D3
55,MAI5081A1592,D3
56,MAI5081A1593,D3
57,MAI5081A1594,D3
58,MAI5081A1595,D3
59,MAI5081A1596,D3
60,MAI5081A1597,D3
61,MAI5081A1598,D3
62,MAI5081A1599,D3
63,MAI5081A1600,D3
64,MAI5081A1601,D3
65,MAI5081A1602,D3
66,MAI5081A1603,D3
67,MAI5081A1604,D3
68,MAI5081A1605,D3
69,MAI5081A1606,D3
70,MAI5081A1607,D3
71,MAI5081A1608,D3
72,MAI5081A1609,D3
73,MAI5081A1610,D3
74,MAI5081A1611,D3
75,MAI5081A1612,D3
76,MAI5081A1613,D3
77,MAI5081A1614,D3
78,MAI5081A1615,D3
79,MAI5081A1616,D3
80,MAI5081A1617,D3
81,MAI5081A1618,D3
82,MAI5081A1619,D3
83,MAI5081A1620,D3
84,MAI5081A1621,D3
85,MAI5081A1622,D3
86,MAI5081A1623,D3
87,MAI5081A1624,D3
88,MAI5081A1625,D3
89,MAI5081A1626,D3
90,MAI5081A1627,D3
91,MAI5081A1628,D3
92,MAI5081A1629,D3
93,MAI5081A1630,D3
94,MAI5081A1631,D3
95,MAI5081A1632,D3
96,MAI5081A1633,D3
97,MAI5081A1634,D3
98,MAI5081A1635,D3
99,MAI5081A1636,D3
100,MAI5081A1637,D3
101,MAI5081A1638,D3
102,MAI5081A1639,D3
103,MAI5081A1640,D3
104,MAI5081A1641,D3
105,MAI5081A1642,D3
106,MAI5081A1643,D3
107,MAI5081A1644,D3
108,MAI5081A1645,D3
109,MAI5081A1646,D3
110,MAI5081A1647,D3
111,MAI5081A1648,D3
112,MAI5081A1649,D3
113,MAI5081A1650,D3
114,MAI5081A1651,D3
115,MAI5081A1652,D3
116,MAI5081A1653,D3
117,MAI5081A1654,D3
118,MAI5081A1655,D3
119,MAI5081A1656,D3
120,MAI5081A1657,D3
121,MAI5081A1658,D3
122,MAI5081A1659,D3
123,MAI5081A1660,D3
124,MAI5081A1661,D3
125,MAI5081A1662,D3
126,MAI5081A1663,D3
127,MAI5081A1664,D3
128,MAI5081A1665,D3
129,MAI5081A1666,D3
130,MAI5081A1667,D3
131,MAI5081A1668,D3
132,MAI5081A1669,D3
133,MAI5081A1670,D3
134,MAI5081A1671,D3
135,MAI5081A1672,D3
136,MAI5081A1673,D3
137,MAI5081A1674,D3
138,MAI5081A1675,D3
139,MAI5081A1676,D3
140,MAI5081A1677,D3
141,MAI5081A1678,D3
142,MAI5081A1679,D3
143,MAI5081A1680,D3
144,MAI5081A1681,D3
145,MAI5081A1682,D3
146,MAI5081A1683,D3
147,MAI5081A1684,D3
148,MAI5081A1685,D3
149,MAI5081A1686,D3
150,MAI5081A1687,D3
151,MAI5081A1688,D3
152,MAI5081A1689,D3
153,MAI5081A1690,D3
154,MAI5081A1691,D3
155,MAI5081A1692,D3
156,MAI5081A1693,D3
157,MAI5081A1694,D3
158,MAI5081A1695,D3
159,MAI5081A1696,D3
160,MAI5081A1697,D3
161,MAI5081A1698,D3
162,MAI5081A1699,D3
163,MAI5081A1700,D3
164,MAI5081A1701,D3
165,MAI5081A1702,D3
166,MAI5081A1703,D3
167,MAI5081A1704,D3
168,MAI5081A1705,D3
169,MAI5081A1706,D3
170,MAI5081A1707,D3
171,MAI5081A1708,D3
172,MAI5081A1709,D3
173,MAI5081A1710,D3
174,MAI5081A1711,D3
175,MAI5081A1712,D3
176,MAI5081A1713,D3
177,MAI5081A1714,D3
178,MAI5081A1715,D3
179,MAI5081A1716,D3
180,MAI5081A1717,D3
181,MAI5081A1718,D3
182,MAI5081A1719,D3
183,MAI5081A1720,D3
184,MAI5081A1721,D3
185,MAI5081A1722,D3
186,MAI5081A1723,D3
187,MAI5081A1724,D3
188,MAI5081A1725,D3
189,MAI5081A1726,D3
190,MAI5081A1727,D3
191,MAI5081A1728,D3
192,MAI5081A1729,D3
193,MAI5081A1730,D3
194,MAI5081A1731,D3
195,MAI5081A1732,D3
196,MAI5081A1733,D3
197,MAI5081A1734,D3
198,MAI5081A1735,D3
199,MAI5081A1736,D3
200,MAI5081A1737,D3
201,MAI5081A1738,D3
202,MAI5081A1739,D3
203,MAI5081A1740,D3
204,MAI5081A1741,D3
205,MAI5081A1742,D3
206,MAI5081A1743,D3
207,MAI5081A1744,D3
208,MAI5081A1745,D3
209,MAI5081A1746,D3
210,MAI5081A1747,D3
211,MAI5081A1748,D3
212,MAI5081A1749,D3
213,MAI5081A1750,D3
214,MAI5081A1751,D3
215,MAI5081A1752,D3
216,MAI5081A1753,D3
217,MAI5081A1754,D3
218,MAI5081A1755,D3
219,MAI5081A1756,D3
220,MAI5081A1757,D3
221,MAI5081A1758,D3
222,MAI5081A1759,D3
223,MAI5081A1760,D3
224,MAI5081A1761,D3
225,MAI5081A1762,D3
226,MAI5081A1763,D3
227,MAI5081A1764,D3
228,MAI5081A1765,D3
229,MAI5081A1766,D3
230,MAI5081A1767,D3
231,MAI5081A1768,D3
232,MAI5081A1769,D3
233,MAI5081A1770,D3
234,MAI5081A1771,D3
235,MAI5081A1772,D3
236,MAI5081A1773,D3
237,MAI5081A1774,D3
238,MAI5081A1775,D3
239,MAI5081A1776,D3
240,MAI5081A1777,D3
241,MAI5081A1778,D3
242,MAI5081A1779,D3
243,MAI5081A1780,D3
244,MAI5081A1781,D3
245,MAI5081A1782,D3
246,MAI5081A1783,D3
247,MAI5081A1784,D3
248,MAI5081A1785,D3
249,MAI5081A1786,D3
250,MAI5081A1787,D3
251,MAI5081A1788,D3
252,MAI5081A1789,D3
253,MAI5081A1790,D3
254,MAI5081A1791,D3
255,MAI5081A1792,D3
256,MAI5081A1793,D3
257,MAI5081A1794,D3
258,MAI5081A1795,D3
259,MAI5081A1796,D3
260,MAI5081A1797,D3
261,MAI5081A1798,D3
262,MAI5081A1799,D3
263,MAI5081A1800,D3
264,MAI5081A1801,D3
265,MAI5081A1802,D3
266,MAI5081A1803,D3
267,MAI5081A1804,D3
268,MAI5081A1805,D3
269,MAI5081A1806,D3
270,MAI5081A1807,D3
271,MAI5081A1808,D3
272,MAI5081A1809,D3
273,MAI5081A1810,D3
274,MAI5081A1811,D3
275,MAI5081A1812,D3
276,MAI5081A1813,D3
277,MAI5081A1814,D3
278,MAI5081A1815,D3
279,MAI5081A1816,D3
280,MAI5081A1817,D3
281,MAI5081A1818,D3
282,MAI5081A1819,D3
283,MAI5081A1820,D3
284,MAI5081A1821,D3
285,MAI5081A1822,D3
286,MAI5081A1823,D3
287,MAI5081A1824,D3
288,MAI5081A1825,D3
289,MAI5081A1826,D3
290,MAI5081A1827,D3
291,MAI5081A1828,D3
292,MAI5081A1829,D3
293,MAI5081A1830,D3
294,MAI5081A1831,D3
295,MAI5081A1832,D3
296,MAI5081A1833,D3
297,MAI5081A1834,D3
298,MAI5081A1835,D3
299,MAI5081A1836,D3
300,MAI5081A1837,D3
301,MAI5081A1838,D3
